Date,Open,High,Low,Close,Adj Close,Volume
1/1/17,963.65802,1191.099976,755.755981,970.403015,970.403015,5143971692
2/1/17,970.940979,1200.390015,946.690979,1179.969971,1179.969971,4282761200
3/1/17,1180.040039,1280.310059,903.713013,1071.790039,1071.790039,10872455960
4/1/17,1071.709961,1347.910034,1061.089966,1347.890015,1347.890015,9757448112
5/1/17,1348.300049,2763.709961,1348.300049,2286.409912,2286.409912,34261856864
6/1/17,2288.330078,2999.909912,2212.959961,2480.840088,2480.840088,44478140928
7/1/17,2492.600098,2916.139893,1843.030029,2875.340088,2875.340088,32619956992
8/1/17,2871.300049,4736.049805,2668.590088,4703.390137,4703.390137,63548016640
9/1/17,4701.759766,4975.040039,2946.620117,4338.709961,4338.709961,55700949056
10/1/17,4341.049805,6470.430176,4164.049805,6468.399902,6468.399902,58009357952
11/1/17,6440.970215,11517.40039,5519.009766,10233.59961,10233.59961,1.40735E+11
12/1/17,10198.59961,20089,9694.650391,14156.40039,14156.40039,4.10336E+11
1/1/18,14112.2002,17712.40039,9402.290039,10221.09961,10221.09961,4.16248E+11
2/1/18,10237.29981,11958.5,6048.259766,10397.90039,10397.90039,2.29718E+11
3/1/18,10385,11704.09961,6683.930176,6973.529785,6973.529785,1.93752E+11
4/1/18,7003.060059,9745.320313,6526.870117,9240.549805,9240.549805,1.9655E+11
5/1/18,9251.469727,9964.5,7090.680176,7494.169922,7494.169922,1.97612E+11
6/1/18,7500.700195,7754.890137,5826.410156,6404,6404,1.30214E+11
7/1/18,6411.680176,8424.269531,6136.419922,7780.439941,7780.439941,1.41442E+11
8/1/18,7769.040039,7769.040039,5971.049805,7037.580078,7037.580078,1.32293E+11
9/1/18,7044.810059,7388.430176,6197.52002,6625.560059,6625.560059,1.29745E+11
10/1/18,6619.850098,6965.060059,6236.470215,6317.609863,6317.609863,1.18437E+11
11/1/18,6318.140137,6552.160156,3585.060059,4017.268555,4017.268555,1.5836E+11
12/1/18,4024.464355,4309.377441,3191.303467,3742.700439,3742.700439,1.68827E+11
1/1/19,3746.713379,4109.020996,3400.819824,3457.792725,3457.792725,1.67336E+11
2/1/19,3460.547119,4210.641602,3391.023682,3854.7854,3854.7854,1.99101E+11
3/1/19,3853.75708,4296.806641,3733.749756,4105.404297,4105.404297,2.97953E+11
4/1/19,4105.362305,5642.044434,4096.901367,5350.726563,5350.726563,4.45365E+11
5/1/19,5350.914551,9008.314453,5347.645996,8574.501953,8574.501953,7.24158E+11
6/1/19,8573.839844,13796.48926,7564.48877,10817.15527,10817.15527,6.75855E+11
7/1/19,10796.93066,13129.5293,9163.134766,10085.62793,10085.62793,6.76416E+11
8/1/19,10077.44238,12273.82129,9421.629883,9630.664063,9630.664063,5.33985E+11
9/1/19,9630.592773,10898.76172,7830.758789,8293.868164,8293.868164,4.80545E+11
10/1/19,8299.720703,10021.74414,7446.98877,9199.584961,9199.584961,5.95205E+11
11/1/19,9193.992188,9505.051758,6617.166992,7569.629883,7569.629883,6.7692E+11
12/1/19,7571.616211,7743.431641,6540.049316,7193.599121,7193.599121,6.3379E+11
1/1/20,7194.89209,9553.125977,6914.996094,9350.529297,9350.529297,8.52872E+11
2/1/20,9346.357422,10457.62695,8492.932617,8599.508789,8599.508789,1.16338E+12
3/1/20,8599.758789,9167.695313,4106.980957,6438.644531,6438.644531,1.29044E+12
4/1/20,6437.319336,9440.650391,6202.373535,8658.553711,8658.553711,1.12361E+12
5/1/20,8672.782227,9996.743164,8374.323242,9461.058594,9461.058594,1.28637E+12
6/1/20,9463.605469,10199.56543,8975.525391,9137.993164,9137.993164,6.50913E+11
7/1/20,9145.985352,11415.86426,8977.015625,11323.4668,11323.4668,5.45813E+11
8/1/20,11322.57031,12359.05664,11012.41504,11680.82031,11680.82031,7.08377E+11
9/1/20,11679.31641,12067.08106,9916.493164,10787.61816,10787.61816,8.93852E+11
10/1/20,10785.01074,14028.21387,10440.31152,13780.99512,13780.99512,7.47991E+11
11/1/20,13780.99512,19749.26367,13243.16016,19625.83594,19625.83594,1.09314E+12
12/1/20,19633.76953,29244.87695,17619.5332,29001.7207,29001.7207,1.21226E+12
1/1/21,28994.00977,41946.73828,28722.75586,33114.35938,33114.35938,2.1559E+12
2/1/21,33114.57813,58330.57031,32384.22852,45137.76953,45137.76953,2.26715E+12
3/1/21,45159.50391,61683.86328,45115.09375,58918.83203,58918.83203,1.68118E+12
4/1/21,58926.5625,64863.09766,47159.48438,57750.17578,57750.17578,1.84448E+12
5/1/21,57714.66406,59519.35547,30681.49609,37332.85547,37332.85547,1.97659E+12
6/1/21,37293.79297,41295.26953,28893.62109,35040.83594,35040.83594,1.18965E+12
7/1/21,35035.98438,42235.54688,29360.95508,41626.19531,41626.19531,8.19103E+11
8/1/21,41460.84375,50482.07813,37458.00391,47166.6875,47166.6875,1.01467E+12
9/1/21,47099.77344,52853.76563,39787.60938,43790.89453,43790.89453,1.10214E+12
10/1/21,43816.74219,66930.39063,43320.02344,61318.95703,61318.95703,1.15308E+12
