Type,Date,Open,High,Low,Close,Adj Close,Volume
BTC,1/10/2017,902.440002,914.872986,901.059998,907.679016,907.679016,115808000
BTC,1/11/2017,908.11499,919.447998,762.765015,777.757019,777.757019,310928992
BTC,1/12/2017,775.177979,826.245972,755.755981,804.833984,804.833984,222326000
BTC,1/13/2017,803.737,829.000977,780.002991,823.984009,823.984009,168968000
BTC,1/14/2017,825.142029,835.085022,812.455994,818.411987,818.411987,93063296
BTC,1/15/2017,818.142029,823.307007,812.870972,821.797974,821.797974,71013600
BTC,1/16/2017,821.78302,834.530029,820.270996,831.533997,831.533997,82755200
BTC,1/17/2017,830.945984,910.560974,830.796021,907.937988,907.937988,155095008
BTC,1/18/2017,909.372986,917.499023,858.304016,886.617981,886.617981,225676992
BTC,1/19/2017,888.335022,904.614014,884.338013,899.072998,899.072998,105625000
BTC,1/20/2017,898.171997,899.39801,887.007996,895.026001,895.026001,86728400
BTC,1/21/2017,895.549011,927.367004,895.534973,921.789001,921.789001,111158000
BTC,1/22/2017,922.205017,937.525024,897.564026,924.672974,924.672974,116573000
BTC,1/23/2017,925.499023,928.265991,916.737976,921.012024,921.012024,73588600
BTC,1/24/2017,910.677002,924.14502,892.286011,892.687012,892.687012,111349000
BTC,1/25/2017,891.924011,903.252014,891.687012,901.541992,901.541992,120831000
BTC,1/26/2017,902.39502,919.325989,902.223999,917.585999,917.585999,131958000
BTC,1/27/2017,918.359009,923.223022,915.846008,919.75,919.75,125594000
BTC,1/28/2017,919.810974,923.911011,919.810974,921.590027,921.590027,68979600
BTC,1/29/2017,922.067017,923.41803,919.14801,919.495972,919.495972,60851700
BTC,1/30/2017,920.151001,923.047974,919.473999,920.382019,920.382019,78227296
BTC,1/31/2017,920.958984,972.018982,920.958984,970.403015,970.403015,164582000
BTC,2/1/2017,970.940979,989.114014,970.742004,989.02301,989.02301,150110000
BTC,2/2/2017,990.000977,1013.52002,983.221008,1011.799988,1011.799988,145820992
BTC,2/3/2017,1011.460022,1033.869995,1008.789978,1029.910034,1029.910034,201278000
BTC,2/4/2017,1031.329956,1045.900024,1015.159973,1042.900024,1042.900024,155064000
BTC,2/5/2017,1043.52002,1043.630005,1022.369995,1027.339966,1027.339966,114208000
BTC,2/6/2017,1028.400024,1044.640015,1028.160034,1038.150024,1038.150024,111762000
BTC,2/7/2017,1040.140015,1061.930054,1040.140015,1061.349976,1061.349976,146007008
BTC,2/8/2017,1062.319946,1078.969971,1037.48999,1063.069946,1063.069946,201855008
BTC,2/9/2017,1064.699951,1088.98999,953.343994,994.382996,994.382996,407220000
BTC,2/10/2017,995.632019,998.905029,946.690979,988.674011,988.674011,190452000
BTC,2/11/2017,988.89801,1009.289978,982.830017,1004.450012,1004.450012,102261000
BTC,2/12/2017,1003.52002,1004.76001,996.921021,999.18103,999.18103,67530000
BTC,2/13/2017,998.88501,1002.099976,976.002014,990.642029,990.642029,100607000
BTC,2/14/2017,991.734985,1011.51001,986.471008,1004.549988,1004.549988,137946000
BTC,2/15/2017,1006.210022,1008.840027,1001.580017,1007.47998,1007.47998,89759400
BTC,2/16/2017,1007.650024,1033.369995,1007.650024,1027.439941,1027.439941,122277000
BTC,2/17/2017,1026.119995,1053.170044,1025.640015,1046.209961,1046.209961,136474000
BTC,2/18/2017,1049.209961,1061.099976,1046.959961,1054.420044,1054.420044,99073504
BTC,2/19/2017,1054.76001,1056.810059,1043.459961,1047.869995,1047.869995,77423296
BTC,2/20/2017,1048.689941,1080.48999,1041.689941,1079.97998,1079.97998,109478000
BTC,2/21/2017,1079.280029,1117.25,1076.930054,1115.300049,1115.300049,186868992
BTC,2/22/2017,1114.800049,1125.390015,1100.550049,1117.439941,1117.439941,136100000
BTC,2/23/2017,1117.27002,1176.619995,1116.959961,1166.719971,1166.719971,189454000
BTC,2/24/2017,1172.709961,1200.390015,1131.959961,1173.680054,1173.680054,330759008
BTC,2/25/2017,1170.410034,1174.849976,1124.589966,1143.839966,1143.839966,139960992
BTC,2/26/2017,1144.27002,1167.469971,1130.199951,1165.199951,1165.199951,116486000
BTC,2/27/2017,1163.780029,1181.97998,1163.380005,1179.969971,1179.969971,131570000
BTC,2/28/2017,1180.719971,1193.25,1171.819946,1179.969971,1179.969971,184956000
BTC,3/1/2017,1180.040039,1222.5,1179.689941,1222.5,1222.5,229056992
