"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 21","4,331.51","4,628.72","4,778.14","3,533.02","6.52M","-6.42%"
"Nov 21","4,628.90","4,287.41","4,864.06","3,917.43","17.12M","7.96%"
"Oct 21","4,287.56","2,999.86","4,458.30","2,972.75","21.57M","42.89%"
"Sep 21","3,000.59","3,429.65","4,024.89","2,659.71","30.69M","-12.54%"
"Aug 21","3,430.74","2,530.94","3,467.42","2,445.49","26.43M","35.49%"
"Jul 21","2,532.19","2,274.50","2,551.68","1,720.70","33.53M","11.36%"
"Jun 21","2,273.84","2,707.94","2,889.19","1,707.24","51.29M","-16.05%"
"May 21","2,708.47","2,772.27","4,366.10","1,739.91","81.40M","-2.32%"
"Apr 21","2,772.78","1,918.82","2,797.61","1,897.38","61.47M","44.57%"
"Mar 21","1,917.99","1,418.91","1,945.40","1,411.55","50.74M","35.19%"
"Feb 21","1,418.76","1,312.69","2,040.79","1,272.09","53.76M","8.08%"
"Jan 21","1,312.73","735.87","1,474.68","715.15","79.04M","78.37%"
"Dec 20","735.94","616.78","757.11","530.88","300.29M","19.49%"
"Nov 20","615.92","386.36","621.70","370.96","437.16M","59.39%"
"Oct 20","386.42","359.50","420.12","334.11","209.52M","7.52%"
"Sep 20","359.39","433.89","488.24","314.13","410.26M","-17.17%"
"Aug 20","433.90","346.48","444.86","335.76","246.93M","25.22%"
"Jul 20","346.51","225.61","349.34","223.53","237.53M","53.58%"
"Jun 20","225.63","231.80","253.21","217.11","220.37M","-2.67%"
"May 20","231.81","206.23","246.55","177.43","549.27M","12.41%"
"Apr 20","206.22","132.88","227.05","128.93","752.88M","55.22%"
"Mar 20","132.86","217.51","251.55","88.50","798.97M","-38.92%"
"Feb 20","217.52","179.88","287.93","179.88","565.04M","20.91%"
"Jan 20","179.91","129.21","186.76","126.05","412.79M","39.24%"
"Dec 19","129.21","151.93","152.33","117.14","378.34M","-14.97%"
"Nov 19","151.95","182.38","194.11","131.78","330.12M","-16.68%"
"Oct 19","182.37","180.36","195.87","154.42","353.37M","1.12%"
"Sep 19","180.35","171.62","223.35","153.17","294.65M","5.09%"
"Aug 19","171.62","217.23","237.47","106.01","286.37M","-20.99%"
"Jul 19","217.23","292.23","317.94","192.91","290.11M","-25.66%"
"Jun 19","292.21","267.94","364.89","227.00","261.02M","9.04%"
"May 19","267.99","161.84","287.99","158.85","420.62M","65.63%"
"Apr 19","161.80","141.77","185.54","140.26","357.03M","14.11%"
"Mar 19","141.79","135.47","168.42","123.25","363.75M","4.67%"
"Feb 19","135.47","106.74","165.79","102.28","221.67M","26.95%"
"Jan 19","106.71","131.90","159.78","101.60","131.93M","-19.10%"
"Dec 18","131.90","113.76","158.27","77.65","146.33M","15.93%"
"Nov 18","113.77","198.59","224.64","102.80","605.73M","-42.71%"
"Oct 18","198.59","232.80","235.95","188.65","397.56M","-14.70%"
"Sep 18","232.80","281.94","301.92","169.08","175.97M","-17.43%"
"Aug 18","281.94","431.88","434.43","250.84","101.46M","-34.66%"
"Jul 18","431.50","452.72","515.20","418.71","42.99M","-4.68%"
"Jun 18","452.67","577.87","627.51","406.12","42.91M","-21.67%"
"May 18","577.87","670.12","838.26","507.72","35.18M","-13.76%"
"Apr 18","670.07","394.10","711.74","359.49","32.78M","70.09%"
"Mar 18","393.96","852.44","879.53","366.12","29.39M","-53.79%"
"Feb 18","852.49","1,118.15","1,157.09","568.78","33.36M","-23.75%"
"Jan 18","1,118.08","736.77","1,423.20","717.94","29.28M","51.75%"
"Dec 17","736.77","432.21","863.00","390.00","32.87M","70.47%"
"Nov 17","432.21","303.69","517.00","275.21","20.28M","42.32%"
"Oct 17","303.69","303.44","355.00","273.50","15.55M","0.08%"
"Sep 17","303.44","387.30","395.03","198.00","29.41M","-21.65%"
"Aug 17","387.30","200.81","390.10","200.80","18.01M","92.87%"
"Jul 17","200.81","275.62","285.91","136.12","27.07M","-27.14%"
"Jun 17","275.62","218.34","412.21","196.00","14.33M","26.23%"
"May 17","218.34","83.51","230.55","66.00","17.36M","161.45%"
"Apr 17","83.51","49.72","84.00","41.05","12.69M","67.96%"
"Mar 17","49.72","15.86","58.99","15.62","28.83M","213.49%"
"Feb 17","15.86","10.71","16.23","10.41","4.81M","48.09%"
"Jan 17","10.71","8.17","11.70","8.03","4.45M","33.88%"
"Dec 16","8.00","8.61","8.84","5.86","3.92M","-7.19%"
"Nov 16","8.62","10.96","11.27","7.74","1.94M","-21.35%"
"Oct 16","10.96","13.25","13.50","9.50","3.05M","-17.59%"
"Sep 16","13.30","11.66","15.40","11.26","3.84M","14.36%"
"Aug 16","11.63","12.00","12.33","9.90","4.20M","-1.94%"
"Jul 16","11.86","12.50","15.15","9.35","16.27M","-5.12%"
"Jun 16","12.50","14.07","21.69","10.13","21.52M","-10.78%"
"May 16","14.01","8.74","14.89","8.35","7.22M","57.95%"
"Apr 16","8.87","11.41","11.94","6.86","2.30M","-22.26%"
